"","Gamma","Balance","M.Age","M.ISFreq","SD.Age","SD.ISFreq","Energy","M.CG","SD.CG"
"1239","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.571428571428571,0.474631146549323
"1240","Two",0,0.0552679423766207,0.362851818248537,0.316242959914099,0.237554653228759,0.212008024608205,0.607142857142857,0.44629118765199
"1241","Two",0,0.221071769506482,0.362851818248537,0.344905872070474,0.368707180952648,0.192700448855984,0.535714285714286,0.498624481575437
"1242","Two",0,0.165803827129862,0.362851818248537,0.0534953693959125,0.109479545433694,0.123452578677947,0.678571428571429,0.372473171834246
"1243","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.571428571428571,0.474631146549323
"1244","Two",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669915,0.607142857142857,0.44629118765199
"1245","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.571428571428571,0.474631146549323
"1246","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.571428571428571,0.474631146549323
"1247","Two",0,0.0552679423766207,0.362851818248537,0.316242959914099,0.237554653228759,0.212008024608205,0.607142857142857,0.44629118765199
"1248","Two",0,2.58631500054724e-17,0.0725703636497075,0.25445380041579,0.221945524216474,0.0969606057717052,0.607142857142857,0.44629118765199
"1249","Two",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549202,0.571428571428571,0.474631146549323
"1250","Two",0,0.165803827129862,0.217711090949122,0.0189234465390304,0.165526014027681,0.125631689341663,0.535714285714286,0.498624481575437
"1251","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.607142857142857,0.44629118765199
"1252","Two",0,0.0552679423766206,0.362851818248537,0.0598917450220403,0.109479545433694,0.142341853916165,0.642857142857143,0.412710152927779
"1253","Two",0,0.110535884753241,0.0725703636497075,0.0295616352468366,0.0962821449966235,0.16909923764397,0.571428571428571,0.474631146549323
"1254","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1255","Two",0,5.67727683046955e-18,0.217711090949122,0.0721833218454981,0.165526014027681,0.146515094721074,0.535714285714286,0.498624481575437
"1256","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1257","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1258","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1259","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1260","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.571428571428571,0.474631146549323
"1261","Two",0,0.110535884753241,0.217711090949122,0.0657195747111194,0.165526014027681,0.114062787490967,0.535714285714286,0.498624481575437
"1262","Two",0,0.165803827129862,0.0725703636497075,0.349895891421366,0.221945524216474,0.118856874186539,0.607142857142857,0.44629118765199
"1263","Two",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669917,0.607142857142857,0.44629118765199
"1264","Two",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088876,0.642857142857143,0.412710152927779
"1265","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866443,0.571428571428571,0.474631146549323
"1266","Two",0,0.165803827129862,0.362851818248537,0.0534953693959125,0.109479545433694,0.123452578677948,0.642857142857143,0.412710152927779
"1267","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1268","Two",0,0.165803827129862,0.362851818248537,0.0534953693959125,0.109479545433694,0.123452578677948,0.642857142857143,0.412710152927779
"1269","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.13875949497238,0.571428571428571,0.474631146549323
"1270","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1271","Two",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088875,0.642857142857143,0.412710152927779
"1272","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.13875949497238,0.571428571428571,0.474631146549323
"1273","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.607142857142857,0.44629118765199
"1274","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1275","Two",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088877,0.678571428571429,0.372473171834246
"1276","Two",0,0.110535884753241,0.0725703636497075,0.0295616352468366,0.0962821449966235,0.16909923764397,0.571428571428571,0.474631146549323
"1277","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866441,0.571428571428571,0.474631146549323
"1278","Two",0,0.0552679423766206,0.362851818248537,0.241978694679964,0.368707180952648,0.166708934814117,0.535714285714286,0.498624481575437
"1279","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1280","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1281","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1282","Two",0,0.0552679423766206,0.798274000146782,0.285721745278916,0.205646638110074,0.371426139848773,0.678571428571429,0.372473171834246
"1283","Two",0,3.5325278056255e-17,0.217711090949122,0.291518506572662,0.165526014027681,0.167651462711098,0.642857142857143,0.412710152927778
"1284","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1285","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866443,0.571428571428571,0.474631146549323
"1286","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812236,0.571428571428571,0.474631146549323
"1287","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866441,0.571428571428571,0.474631146549323
"1288","Two",0,0.0552679423766206,0.217711090949122,0.32305498924156,0.340435526912512,0.182491683065251,0.678571428571429,0.372473171834246
"1289","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1290","Two",0,0.0552679423766206,0.362851818248537,0.241978694679964,0.368707180952648,0.166708934814119,0.535714285714286,0.498624481575437
"1291","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.571428571428571,0.474631146549323
"1292","Two",0,0.165803827129862,0.798274000146782,0.293467789161989,0.205646638110074,0.412214541356164,0.678571428571429,0.372473171834246
"1293","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1294","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.571428571428571,0.474631146549323
"1295","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1296","Two",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549202,0.571428571428571,0.474631146549323
"1297","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.13875949497238,0.571428571428571,0.474631146549323
"1298","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1299","Two",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.237554653228759,0.154709081584067,0.607142857142857,0.44629118765199
"1300","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866441,0.571428571428571,0.474631146549323
"1301","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1302","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866443,0.571428571428571,0.474631146549323
"1303","Two",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.147118194019972,0.535714285714286,0.498624481575437
"1304","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1305","Two",0,0.0552679423766207,0.362851818248537,0.316242959914099,0.237554653228759,0.212008024608205,0.607142857142857,0.44629118765199
"1306","Two",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.14711819401997,0.535714285714286,0.498624481575437
"1307","Two",0,0.165803827129862,0.217711090949122,0.0189234465390304,0.165526014027681,0.125631689341665,0.535714285714286,0.498624481575437
"1308","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1309","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.571428571428571,0.474631146549323
"1310","Two",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.147118194019972,0.535714285714286,0.498624481575437
"1311","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.607142857142857,0.44629118765199
"1312","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1313","Two",0,0.276339711883103,0.217711090949122,0.0256724943015814,0.165526014027681,0.12300480969734,0.535714285714286,0.498624481575437
"1314","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.607142857142857,0.44629118765199
"1315","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1316","Two",0,0.276339711883103,0.217711090949122,0.0256724943015814,0.165526014027681,0.12300480969734,0.535714285714286,0.498624481575437
"1317","Two",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160556,0.607142857142857,0.44629118765199
"1318","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866441,0.571428571428571,0.474631146549323
"1319","Two",0,0.0552679423766206,0.362851818248537,0.316242959914099,0.237554653228759,0.212008024608205,0.571428571428571,0.474631146549323
"1320","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866441,0.571428571428571,0.474631146549323
"1321","Two",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.237554653228759,0.154709081584066,0.607142857142857,0.44629118765199
"1322","Two",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669917,0.607142857142857,0.44629118765199
"1323","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866443,0.571428571428571,0.474631146549323
"1324","Two",0,0.331607654259723,0.362851818248537,0.0382706744149354,0.109479545433694,0.154247859436438,0.642857142857143,0.412710152927779
"1325","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.571428571428571,0.474631146549323
"1326","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1327","Two",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160553,0.607142857142857,0.44629118765199
"1328","Two",0,0.0552679423766206,0.362851818248537,0.0598917450220403,0.109479545433694,0.142341853916164,0.678571428571429,0.372473171834246
"1329","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1330","Two",0,0.165803827129862,0.217711090949122,0.0189234465390304,0.165526014027681,0.125631689341663,0.535714285714286,0.498624481575437
"1331","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.571428571428571,0.474631146549323
"1332","Two",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669915,0.607142857142857,0.44629118765199
"1333","Two",0,0.165803827129862,0.798274000146782,0.293467789161989,0.205646638110074,0.412214541356164,0.678571428571429,0.372473171834246
"1334","Two",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.14711819401997,0.535714285714286,0.498624481575437
"1335","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1336","Two",0,0.331607654259723,0.362851818248537,0.0382706744149354,0.109479545433694,0.154247859436441,0.678571428571429,0.372473171834246
"1337","Two",0,0.165803827129862,0.217711090949122,0.0189234465390304,0.165526014027681,0.125631689341663,0.535714285714286,0.498624481575437
"1338","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1339","Two",0,0.331607654259723,0.362851818248537,0.0382706744149354,0.109479545433694,0.154247859436439,0.678571428571429,0.372473171834246
"1340","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1341","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1342","Two",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160556,0.607142857142857,0.44629118765199
"1343","Two",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088875,0.642857142857143,0.412710152927779
"1344","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1345","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.571428571428571,0.474631146549323
"1346","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.607142857142857,0.44629118765199
"1347","Two",0,0.165803827129862,0.362851818248537,0.0534953693959125,0.109479545433694,0.123452578677948,0.678571428571429,0.372473171834246
"1348","Two",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669915,0.607142857142857,0.44629118765199
"1349","Two",0,0.110535884753241,0.362851818248537,0.336285606751446,0.368707180952648,0.182465762064351,0.535714285714286,0.498624481575437
"1350","Two",0,2.58631500054724e-17,0.0725703636497075,0.25445380041579,0.221945524216474,0.096960605771703,0.607142857142857,0.44629118765199
"1351","Two",0,0.110535884753241,0.0725703636497075,0.0295616352468366,0.0962821449966235,0.16909923764397,0.571428571428571,0.474631146549323
"1352","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1353","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1354","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1355","Two",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.169286428161168,0.607142857142857,0.44629118765199
"1356","Two",0,0.0552679423766206,0.507992545547952,0.285721745278916,0.33872251475047,0.313017790232922,0.571428571428571,0.474631146549323
"1357","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1358","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.607142857142857,0.44629118765199
"1359","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"1360","Two",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669915,0.607142857142857,0.44629118765199
"1361","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866441,0.571428571428571,0.474631146549323
"1362","Two",0,0.221071769506482,0.362851818248537,0.224126225751083,0.237554653228759,0.178082384812237,0.607142857142857,0.44629118765199
"1363","Two",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669917,0.607142857142857,0.44629118765199
"1364","Two",0,0.331607654259723,0.362851818248537,0.0382706744149354,0.109479545433694,0.154247859436441,0.678571428571429,0.372473171834246
"1365","Two",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.169286428161168,0.607142857142857,0.44629118765199
"1366","Two",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"1367","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.571428571428571,0.474631146549323
"1368","Two",0,0.165803827129862,0.0725703636497075,0.349895891421366,0.221945524216474,0.118856874186539,0.607142857142857,0.44629118765199
"1369","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.13875949497238,0.571428571428571,0.474631146549323
"1370","Two",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088875,0.642857142857143,0.412710152927779
"1371","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.13875949497238,0.571428571428571,0.474631146549323
"1372","Two",0,0.221071769506482,0.362851818248537,0.344905872070474,0.368707180952648,0.192700448855984,0.535714285714286,0.498624481575437
"1373","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
