"","Rho","Balance","M.Age","M.PD.L1.MPS","M.Hemoglobin","SD.Age","SD.PD.L1.MPS","SD.Hemoglobin","Energy","M.CG","SD.CG"
"3479","Ten",0,0.310826824415387,0.303076022935381,0.332984955954049,0.0468822328753034,0.115727342061799,0.122895686482575,0.322976556280176,0.6,0.459468291736341
"3480","Ten",0,0.199817244267035,0.268105712596683,0.27748746329504,0.0352956383965157,0.136534075582406,0.131188300373763,0.267644621226073,0.7,0.34960294939005
"3481","Ten",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"3482","Ten",0,0.244221076326376,0.542039810249816,0.208115597471281,0.129730921924793,0.33140691567934,0.350660494948248,0.47097566127397,0.55,0.497214463005877
"3483","Ten",0,0.310826824415387,0.303076022935381,0.332984955954049,0.0468822328753034,0.115727342061799,0.122895686482575,0.322976556280177,0.6,0.459468291736341
"3484","Ten",0,0.244221076326376,0.209821862032187,0.360733702283553,0.0538400816279645,0.167795455219993,0.0209009662442452,0.295612500811098,0.7,0.34960294939005
"3485","Ten",0,0.222019160296705,0.355531488443427,0.346859329118801,0.282396618008501,0.211509974180549,0.19651055085763,0.357180360831557,0.55,0.497214463005877
"3486","Ten",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479807,0.147003389170079,0.135019135332764,0.266964686909907,0.6,0.459468291736341
"3487","Ten",0,0.177615328237364,0.0407986953951474,0.249738716965536,0.200853885605497,0.123971957603879,0.0405243911647974,0.210487558130063,0.55,0.497214463005877
"3488","Ten",0,1.54197642309054e-18,0.501241114854668,0.166492477977024,0.0629734577315525,0.271501798448476,0.243532580449636,0.334927638084957,0.6,0.459468291736341
"3489","Ten",0,0.288624908385717,0.209821862032187,0.804713643555617,0.062727430456826,0.167795455219993,0.0151759526334032,0.501943716723979,0.6,0.459468291736341
"3490","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"3491","Ten",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617777,1.08982856716765,0.217016408985777,0.743598784488978,0.55,0.497214463005877
"3492","Ten",0,0.42183640456374,0.833459063072297,0.221989970636033,0.0663081675959805,0.877728434531043,0.150716934035904,0.601435545578761,0.6,0.459468291736341
"3493","Ten",0,0.754865145008798,0.16319478158059,0.346859329118801,0.424353155749482,0.191490028118848,0.19651055085763,0.552514046358283,0.55,0.497214463005877
"3494","Ten",0,0.0444038320593411,0.559524965419164,0.0832462389885123,0.0813200418551333,0.240433054579376,0.355627630177653,0.356838764931037,0.6,0.459468291736341
