"","Rho","Balance","M.Age","M.ISFreq","SD.Age","SD.ISFreq","Energy","M.CG","SD.CG"
"3418","Ten",0,0.276339711883103,0.217711090949122,0.0256724943015816,0.165526014027681,0.123004809697339,0.535714285714286,0.498624481575437
"3419","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3420","Ten",0,0.276339711883103,0.217711090949122,0.0256724943015816,0.165526014027681,0.132170417363797,0.642857142857143,0.412710152927779
"3421","Ten",0,0.0552679423766206,0.0725703636497075,0.241978694679964,0.27983694320513,0.103390009100908,0.535714285714286,0.498624481575437
"3422","Ten",0,0.0552679423766206,0.653133272847367,0.241978694679964,0.260310355520566,0.285309965115101,0.607142857142857,0.44629118765199
"3423","Ten",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160556,0.607142857142857,0.44629118765199
"3424","Ten",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160556,0.607142857142857,0.44629118765199
"3425","Ten",0,0.276339711883103,0.217711090949122,0.0256724943015816,0.165526014027681,0.132170417363797,0.642857142857143,0.412710152927779
"3426","Ten",0,0.0552679423766206,0.362851818248537,0.0598917450220402,0.109479545433694,0.142341853916165,0.642857142857143,0.412710152927779
"3427","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3428","Ten",0,0.221071769506482,0.362851818248537,0.344905872070473,0.368707180952648,0.192700448855986,0.535714285714286,0.498624481575437
"3429","Ten",0,0.165803827129862,0.362851818248537,0.273130216213545,0.23755465322876,0.226891604978976,0.571428571428571,0.474631146549323
"3430","Ten",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"3431","Ten",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.147118194019971,0.535714285714286,0.498624481575437
"3432","Ten",0,0.276339711883103,0.0725703636497075,0.0256724943015816,0.350261685899693,0.154633567556911,0.642857142857143,0.412710152927779
"3433","Ten",0,0.0552679423766206,0.362851818248537,0.316242959914099,0.23755465322876,0.212008024608205,0.571428571428571,0.474631146549323
"3434","Ten",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.169286428161171,0.607142857142857,0.44629118765199
"3435","Ten",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088877,0.678571428571429,0.372473171834246
"3436","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.154709081584067,0.607142857142857,0.44629118765199
"3437","Ten",0,0.165803827129862,0.217711090949122,0.274821683732139,0.165526014027681,0.125214635600143,0.607142857142857,0.44629118765199
"3438","Ten",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.169286428161171,0.607142857142857,0.44629118765199
"3439","Ten",0,0.331607654259724,0.362851818248537,0.182078589365253,0.23755465322876,0.250645743882541,0.535714285714286,0.498624481575437
"3440","Ten",0,0.110535884753241,0.362851818248537,0.336285606751446,0.368707180952648,0.182465762064353,0.535714285714286,0.498624481575437
"3441","Ten",0,0.0552679423766206,0.217711090949122,0.0598917450220402,0.165526014027681,0.119718577995634,0.607142857142857,0.44629118765199
"3442","Ten",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669917,0.607142857142857,0.44629118765199
"3443","Ten",0,0.165803827129862,0.217711090949122,0.0189234465390302,0.165526014027681,0.125631689341664,0.535714285714286,0.498624481575437
"3444","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.607142857142857,0.44629118765199
"3445","Ten",0,0.165803827129862,0.217711090949122,0.0189234465390302,0.165526014027681,0.125631689341664,0.535714285714286,0.498624481575437
"3446","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3447","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3448","Ten",0,0.0552679423766206,0.798274000146782,0.285721745278916,0.205646638110074,0.371426139848774,0.678571428571429,0.372473171834246
"3449","Ten",0,8.83131951406374e-18,0.362851818248537,0.366606055596467,0.23755465322876,0.193608631010582,0.678571428571429,0.372473171834246
"3450","Ten",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"3451","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.535714285714286,0.498624481575437
"3452","Ten",0,0.110535884753241,0.0725703636497075,0.0295616352468362,0.0962821449966239,0.169099237643971,0.571428571428571,0.474631146549323
"3453","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.642857142857143,0.412710152927779
"3454","Ten",0,0.0552679423766206,0.798274000146782,0.285721745278916,0.205646638110074,0.371426139848774,0.678571428571429,0.372473171834246
"3455","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3456","Ten",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.23755465322876,0.202510562354129,0.607142857142857,0.44629118765199
"3457","Ten",0,0.165803827129862,0.362851818248537,0.273130216213545,0.23755465322876,0.226891604978976,0.535714285714286,0.498624481575437
"3458","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.571428571428571,0.474631146549323
"3459","Ten",0,0.221071769506482,0.217711090949122,0.0313557474076491,0.165526014027681,0.116320084132763,0.607142857142857,0.44629118765199
"3460","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3461","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3462","Ten",0,0.221071769506482,0.217711090949122,0.0313557474076491,0.165526014027681,0.116320084132763,0.607142857142857,0.44629118765199
"3463","Ten",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.23755465322876,0.202510562354129,0.607142857142857,0.44629118765199
"3464","Ten",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669917,0.607142857142857,0.44629118765199
"3465","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.535714285714286,0.498624481575437
"3466","Ten",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"3467","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.571428571428571,0.474631146549323
"3468","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.607142857142857,0.44629118765199
"3469","Ten",0,0.221071769506482,0.217711090949122,0.0313557474076491,0.165526014027681,0.116320084132763,0.607142857142857,0.44629118765199
"3470","Ten",0,0.0552679423766206,0.362851818248537,0.241978694679964,0.368707180952648,0.166708934814119,0.571428571428571,0.474631146549323
"3471","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.154709081584067,0.607142857142857,0.44629118765199
"3472","Ten",0,0.165803827129862,0.217711090949122,0.0189234465390302,0.165526014027681,0.125631689341664,0.535714285714286,0.498624481575437
"3473","Ten",0,0.165803827129862,0.507992545547952,0.0534953693959126,0.182273727578033,0.175579523773427,0.642857142857143,0.412710152927779
"3474","Ten",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.23755465322876,0.202510562354129,0.607142857142857,0.44629118765199
"3475","Ten",0,0.221071769506482,0.362851818248537,0.224126225751083,0.23755465322876,0.178082384812236,0.607142857142857,0.44629118765199
"3476","Ten",0,0.221071769506482,0.217711090949122,0.0313557474076491,0.165526014027681,0.116320084132763,0.607142857142857,0.44629118765199
"3477","Ten",0,0.276339711883103,0.217711090949122,0.0256724943015816,0.165526014027681,0.123004809697339,0.535714285714286,0.498624481575437
"3478","Ten",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.23755465322876,0.202510562354129,0.607142857142857,0.44629118765199
"3479","Ten",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.23755465322876,0.202510562354129,0.571428571428571,0.474631146549323
"3480","Ten",0,0.0552679423766206,0.0725703636497075,0.241978694679964,0.27983694320513,0.103390009100908,0.571428571428571,0.474631146549323
"3481","Ten",0,0.110535884753241,0.0725703636497075,0.0295616352468362,0.0962821449966239,0.169099237643971,0.571428571428571,0.474631146549323
"3482","Ten",0,0.110535884753241,0.653133272847367,0.266659053324548,0.260310355520566,0.306418900417607,0.571428571428571,0.474631146549323
"3483","Ten",0,0.221071769506482,0.362851818248537,0.187255559383891,0.23755465322876,0.16103699028122,0.571428571428571,0.474631146549323
"3484","Ten",0,0.331607654259724,0.217711090949122,0.0199646987412084,0.165526014027681,0.146249057866442,0.571428571428571,0.474631146549323
"3485","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3486","Ten",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160556,0.607142857142857,0.44629118765199
"3487","Ten",0,0.221071769506482,0.362851818248537,0.344905872070473,0.368707180952648,0.192700448855986,0.535714285714286,0.498624481575437
"3488","Ten",0,0.0552679423766206,0.362851818248537,0.0598917450220402,0.109479545433694,0.142341853916165,0.678571428571429,0.372473171834246
"3489","Ten",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"3490","Ten",0,0.276339711883103,0.217711090949122,0.0256724943015816,0.165526014027681,0.132170417363797,0.642857142857143,0.412710152927779
"3491","Ten",0,0.0552679423766206,0.798274000146782,0.285721745278916,0.205646638110074,0.371426139848774,0.678571428571429,0.372473171834246
"3492","Ten",0,0.0552679423766206,0.362851818248537,0.316242959914099,0.23755465322876,0.212008024608205,0.607142857142857,0.44629118765199
"3493","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3494","Ten",0,0.165803827129862,0.362851818248537,0.273130216213545,0.23755465322876,0.226891604978976,0.535714285714286,0.498624481575437
"3495","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.607142857142857,0.44629118765199
"3496","Ten",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.169286428161171,0.607142857142857,0.44629118765199
