"","Method","Balance","M.Z1","M.Z2","M.Z3","SD.Z1","SD.Z2","SD.Z3","Energy","M.CG","SD.CG"
"114","MH",0,0.133211496178023,0.37879456527713,0.307660989435053,0.237786745839797,0.0135927503810502,0.358243585039034,0.272302118907457,0.65,0.411636301174282
"115","MH",2,0.129881208773572,0.167536905119071,0.0271586564737729,0.0689789594615177,0.107411948050653,0.490988104137461,0.236744382906234,0.55,0.437797517885457
"116","MH",2,0.432104790727462,0.0199885580890451,0.0766958508555554,0.0892817940679217,0.12909536633039,0.188497936530962,0.221640836585862,0.65,0.337474278855276
"117","MH",2,0.117392631006884,0.0193293112243442,0.0672184217210502,0.11624958410605,0.0299037217656273,0.0163016174993573,0.245306565160152,0.5,0.471404520791032
"118","MH",0,0.044403832059341,0.0265346150267454,0.140444707716236,0.0667624070494396,0.102842302015989,0.0225103080456994,0.137930025023117,0.7,0.34960294939005
"119","MH",2,0.129881208773573,0.263025125026822,0.227611396818911,0.0763220490513179,0.0256719196626258,0.371484430250372,0.276790739122641,0.55,0.437797517885457
"120","MH",0,0.111009580148352,0.0195340199379072,0.284078345062038,0.0154927534950795,0.14974365632091,0.0228517001472759,0.201298204233235,0.7,0.34960294939005
"121","MH",2,0.332196168593944,0.148108179102692,0.12358682676858,0.49630972598973,0.10427886702345,0.237607476269495,0.278971341049849,0.6,0.394405318873308
"122","MH",2,0.319707590827256,0.347762278299406,0.00362331600390549,0.278048758694122,0.339855451492404,0.101449145594068,0.253409942705137,0.6,0.394405318873308
"123","MH",2,0.152360648753613,0.191235841348829,0.297509608293386,0.0653107367780654,0.1326365640142,0.177777220946351,0.230093292701012,0.5,0.471404520791032
"124","MH",2,0.309716728613902,0.0649345451469566,0.16276209848513,0.0640106356759021,0.00436492291778312,0.124782557099947,0.23293060516573,0.55,0.437797517885457
"125","MH",2,0.117392631006883,0.0346610812044132,0.377785738550402,0.0315409902257417,0.0798956918338976,0.0481679267338072,0.210331459794445,0.55,0.437797517885457
"126","MH",2,0.0624428888334476,0.0689727987065469,0.0382400021738895,0.116002007585478,0.00382911659075358,0.0370843175100779,0.15737664336987,0.65,0.337474278855276
"127","MH",0,0.0888076641186819,0.0609018548648621,0.139153862115905,0.00215418502209408,0.111360396543805,0.0756374279704163,0.189272392390975,0.55,0.497214463005877
"128","MH",2,0.287237288633861,0.303726365439543,0.52718969908912,0.10924461323225,0.186674805382683,0.320259718910887,0.382321903448251,0.6,0.394405318873308
"129","MH",0,0.0888076641186819,0.146068601544316,0.0609291620059075,0.0457877251941146,0.0240534973724671,0.358376397229266,0.249270486157556,0.65,0.411636301174282
"130","MH",2,0.10740176879353,0.243874110775287,0.0138796868832158,0.135631069255707,0.186569053824732,0.0243807741742872,0.201673353607835,0.65,0.337474278855276
"131","MH",2,0.0174840088733658,0.528014665461156,0.0358128791304436,0.100128794420496,0.0274251841515935,0.0255512717182764,0.346354299170123,0.45,0.497214463005877
"132","MH",2,0.197319528713696,0.386549832788163,0.527855015505661,0.105442763176984,0.276258541040088,0.585419920712096,0.380654503641318,0.6,0.394405318873308
